SID	Annotation	Site begin	Site end	Site name	Overlapped symbols	Overlapped perc.	Partner overlapped perc.	Partner begin	Partner end	Partner name
CHR	1	91488	91943	NP_0184A	456	100	100	91488	91943	NP_RS00460
CHR	1	91940	92113	NP_0186A	174	100	100	91940	92113	NP_RS00465
CHR	1	92231	94036	NP_0188A	1806	100	100	92231	94036	NP_RS00470
CHR	1	94020	94910	NP_0190A	891	100	100	94020	94910	NP_RS00475
CHR	1	94907	96214	NP_0192A	1308	100	100	94907	96214	NP_RS00480
CHR	1	96272	97372	NP_0194A	1101	100	100	96272	97372	NP_RS00485
CHR	1	97468	97815	NP_0196A	348	100	100	97468	97815	NP_RS00490
CHR	1	97816	99669	NP_0198A	1854	100	100	97816	99669	NP_RS00495
CHR	1	99766	100512	NP_0200A	747	100	100	99766	100512	NP_RS00500
CHR	1	100540	101976	NP_0202A	1437	100	100	100540	101976	NP_RS00505
CHR	1	101973	103505	NP_0204A	1533	100	99	101973	103517	NP_RS00510
CHR	1	103507	104550	NP_0206A	1044	100	100	103507	104550	NP_RS00515
CHR	1	104605	105093	NP_0208A	489	100	100	104605	105093	NP_RS00520
CHR	1	105297	107216	NP_0210A	1920	100	100	105297	107216	NP_RS00525
CHR	1	107218	108570	NP_0212A	1353	100	100	107218	108570	NP_RS00530
CHR	1	108682	109137	NP_0214A	456	100	100	108682	109137	NP_RS00535
CHR	1	109192	109845	NP_0216A	654	100	100	109192	109845	NP_RS00540
CHR	1	109979	111949	NP_0218A	1971	100	100	109979	111949	NP_RS00545
CHR	1	112022	113230	NP_0220A	1209	100	100	112022	113230	NP_RS00550
CHR	1	113243	113893	NP_0222A	651	100	100	113243	113893	NP_RS00555
CHR	1	113894	114472	NP_0224A	579	100	100	113894	114472	NP_RS00560
CHR	1	114563	115762	NP_0226A	1200	100	100	114563	115762	NP_RS00565
CHR	1	115759	116163	NP_0228A	405	100	100	115759	116163	NP_RS00570
CHR	1	116202	116495	NP_0230A	294	100	100	116202	116495	NP_RS00575
CHR	1	116570	119140	NP_0232A	2571	100	100	116570	119140	NP_RS00580
CHR	1	119262	119927	NP_0234A	666	100	100	119262	119927	NP_RS00585
CHR	1	119978	121303	NP_0236A	1326	100	100	119978	121303	NP_RS00590
CHR	1	121305	121388	NP_0237H	0	0	0	-	-	
CHR	1	121388	122128	NP_0238A	741	100	100	121388	122128	NP_RS00595
CHR	1	122209	122916	NP_0240A	708	100	100	122209	122916	NP_RS00600
CHR	1	122922	123458	NP_0242A	537	100	100	122922	123458	NP_RS00605
CHR	1	123562	124578	NP_0244A	1017	100	100	123562	124578	NP_RS00610
CHR	1	124769	125359	NP_0246A	591	100	100	124769	125359	NP_RS00615
CHR	1	125615	126523	NP_0248A	909	100	100	125615	126523	NP_RS00620
CHR	1	126622	127140	NP_0250A	519	100	100	126622	127140	NP_RS00625
CHR	1	127201	127626	NP_0252A	426	100	100	127201	127626	NP_RS00630
CHR	1	127826	129019	NP_0254A	1194	100	100	127826	129019	NP_RS00635
CHR	1	129109	130542	NP_0256A	1434	100	100	129109	130542	NP_RS00640
CHR	1	130549	132777	NP_0258A	2193	98	100	130549	132741	NP_RS00645
CHR	1	132850	133890	NP_0260A	1041	100	100	132850	133890	NP_RS00650
CHR	1	134001	134861	NP_0262A	861	100	100	134001	134861	NP_RS00655
CHR	1	134926	135621	NP_0264A	696	100	100	134926	135621	NP_RS00660
CHR	1	135780	137201	NP_0266A	1422	100	100	135780	137201	NP_RS00665
CHR	1	137237	137629	NP_0268A	393	100	100	137237	137629	NP_RS00670
CHR	1	137626	138867	NP_0270A	1242	100	100	137626	138867	NP_RS00675
CHR	1	139165	140745	NP_0272A	1581	100	100	139165	140745	NP_RS00685
CHR	1	140894	141598	NP_0274A	705	100	100	140894	141598	NP_RS00690
CHR	1	141644	141913	NP_0276A	270	100	100	141644	141913	NP_RS00695
CHR	1	142022	142705	NP_0278A	684	100	100	142022	142705	NP_RS00700
CHR	1	142796	144079	NP_0280A	1284	100	100	142796	144079	NP_RS00705
CHR	1	144163	145368	NP_0282A	1206	100	100	144163	145368	NP_RS00710
CHR	1	145365	146648	NP_0284A	1284	100	100	145365	146648	NP_RS00715
CHR	1	146762	147661	NP_0286A	900	100	100	146762	147661	NP_RS00720
CHR	1	147932	150550	NP_0288A	2619	100	100	147932	150550	NP_RS00725
CHR	1	150645	150926	NP_0290A	282	100	100	150645	150926	NP_RS00730
CHR	1	150936	151502	NP_0292A	567	100	100	150936	151502	NP_RS00735
CHR	1	151686	152906	NP_0294A	1221	100	100	151686	152906	NP_RS00740
CHR	1	153092	153178	NP_0296A	87	100	46	152990	153178	NP_RS00745
CHR	1	153318	153623	NP_0298A	0	0	0	-	-	
CHR	1	154058	154582	NP_0300A	525	100	100	154058	154582	NP_RS00755
CHR	1	154579	155526	NP_0302A	948	100	100	154579	155526	NP_RS00760
CHR	1	155694	156962	NP_0304A	1269	100	100	155694	156962	NP_RS00765
CHR	1	156966	157274	NP_0306A	309	100	100	156966	157274	NP_RS00770
CHR	1	157614	158381	NP_0308A	768	100	100	157614	158381	NP_RS00780
CHR	1	158426	158932	NP_0310A	507	100	100	158426	158932	NP_RS00785
CHR	1	158981	159565	NP_0312A	585	100	100	158981	159565	NP_RS14000
CHR	1	159958	161361	NP_0314A	1404	100	100	159958	161361	NP_RS00795
CHR	1	161412	161849	NP_0316A	438	100	100	161412	161849	NP_RS00800
CHR	1	161846	162856	NP_0318A	1011	100	100	161846	162856	NP_RS00805
CHR	1	162859	164205	NP_0320A	1347	100	100	162859	164205	NP_RS00810
CHR	1	164418	165404	NP_0322A	966	98	100	164418	165383	NP_RS00820
CHR	1	166425	167975	NP_0324A	1551	100	100	166425	167975	NP_RS00830
CHR	1	168029	168880	NP_0326A	852	100	100	168029	168880	NP_RS00835
CHR	1	168877	170613	NP_0328A	1737	100	100	168877	170613	NP_RS00840
CHR	1	170712	172493	NP_0330A	1782	100	100	170712	172493	NP_RS00845
CHR	1	172562	174223	NP_0332A	1662	100	100	172562	174223	NP_RS00850
CHR	1	174256	174540	NP_0334A	285	100	100	174256	174540	NP_RS00855
CHR	1	174668	177205	NP_0336A	2538	100	100	174668	177205	NP_RS00860
CHR	1	177202	177936	NP_0338A	735	100	100	177202	177936	NP_RS00865
CHR	1	178031	178510	NP_0340A	480	100	100	178031	178510	NP_RS00870
CHR	1	178643	178999	NP_0342A	357	100	100	178643	178999	NP_RS00875
CHR	1	179002	179181	NP_0344A	180	100	100	179002	179181	NP_RS00880
CHR	1	179274	180416	NP_0346A	1143	100	100	179274	180416	NP_RS00885
CHR	1	180423	181421	NP_0348A	999	100	99	180423	181430	NP_RS00890
CHR	1	181468	181650	NP_0350A	183	100	100	181468	181650	NP_RS00895
CHR	1	181760	182224	NP_0352A	465	100	100	181760	182224	NP_RS00900
CHR	1	182287	182661	NP_0354A	375	100	100	182287	182661	NP_RS00905
CHR	1	182679	183410	NP_0356A	732	100	100	182679	183410	NP_RS00910
CHR	1	183376	183942	NP_0358A	567	100	100	183376	183942	NP_RS00915
CHR	1	183996	185072	NP_0360A	1077	100	100	183996	185072	NP_RS00920
CHR	1	185131	188265	NP_0362A	3135	100	96	185131	188379	NP_RS00925
CHR	1	188526	188852	NP_0364A	327	100	100	188526	188852	NP_RS00930
CHR	1	188972	190252	NP_0366A	1281	100	100	188972	190252	NP_RS00935
CHR	1	190249	191868	NP_0368A	1620	100	100	190249	191868	NP_RS00940
CHR	1	192064	192549	NP_0370A	486	100	100	192064	192549	NP_RS00945
CHR	1	192546	193538	NP_0372A	993	100	100	192546	193538	NP_RS00950
CHR	1	193774	194592	NP_0374A	819	100	100	193774	194592	NP_RS00955
CHR	1	194589	195029	NP_0376A	441	100	100	194589	195029	NP_RS00960
CHR	1	195075	195299	NP_0378A	225	100	100	195075	195299	NP_RS00965
CHR	1	195340	195528	NP_0379C	189	100	100	195340	195528	NP_RS00970
CHR	1	195629	196741	NP_0380A	1113	100	100	195629	196741	NP_RS00975
CHR	1	196784	197503	NP_0382A	720	100	100	196784	197503	NP_RS00980
CHR	1	197666	198634	NP_0384A	969	100	100	197666	198634	NP_RS00985
CHR	1	198637	198927	NP_0386A	291	100	100	198637	198927	NP_RS00990
CHR	1	199018	199311	NP_0388A	294	100	100	199018	199311	NP_RS00995
CHR	1	199378	199728	NP_0390A	351	100	100	199378	199728	NP_RS01000
CHR	1	199759	200343	NP_0392A	585	100	100	199759	200343	NP_RS01005
CHR	1	200340	200777	NP_0394A	438	100	100	200340	200777	NP_RS01010
CHR	1	200803	201252	NP_0396A	450	100	100	200803	201252	NP_RS01015
CHR	1	201425	202042	NP_0398A	618	100	100	201425	202042	NP_RS01020
CHR	1	202081	202446	NP_0400A	366	100	100	202081	202446	NP_RS01025
CHR	1	202443	202907	NP_0402A	465	100	100	202443	202907	NP_RS01030
CHR	1	203241	205214	NP_0404A	1974	100	100	203241	205214	NP_RS01035
CHR	1	205390	206001	NP_0406A	612	100	100	205390	206001	NP_RS01040
CHR	1	206077	206424	NP_0408A	348	100	100	206077	206424	NP_RS01045
CHR	1	206474	207430	NP_0410A	957	100	100	206474	207430	NP_RS01050
CHR	1	207489	207881	NP_0412A	393	100	100	207489	207881	NP_RS01055
CHR	1	207878	208606	NP_0414A	729	100	100	207878	208606	NP_RS01060
CHR	1	208685	209218	NP_0416A	534	100	100	208685	209218	NP_RS01065
CHR	1	209283	210242	NP_0418A	960	100	100	209283	210242	NP_RS01070
CHR	1	216903	217220	NP_0424A	318	100	100	216903	217220	NP_RS01100
CHR	1	217453	217650	NP_0426A	198	100	100	217453	217650	NP_RS01105
CHR	1	217862	218914	NP_0428A	1053	100	100	217862	218914	NP_RS01110
CHR	1	218911	219303	NP_0430A	393	100	100	218911	219303	NP_RS01115
CHR	1	219329	220165	NP_0432A	837	100	100	219329	220165	NP_RS01120
CHR	1	220252	220551	NP_0434A	300	100	100	220252	220551	NP_RS01125
CHR	1	220651	221733	NP_0436A	1083	100	100	220651	221733	NP_RS01130
CHR	1	221788	223041	NP_0438A	1254	100	100	221788	223041	NP_RS01135
CHR	1	223048	225351	NP_0440A	2304	100	100	223048	225351	NP_RS01140
CHR	1	225419	226969	NP_0442A	1551	100	100	225419	226969	NP_RS01145
CHR	1	227029	228039	NP_0444A	1011	100	100	227029	228039	NP_RS01150
CHR	1	228118	228840	NP_0446A	723	100	100	228118	228840	NP_RS01155
CHR	1	228943	229938	NP_0448A	996	100	100	228943	229938	NP_RS01160
CHR	1	229957	230157	NP_0450A	201	100	100	229957	230157	NP_RS01165
CHR	1	230277	232919	NP_0452A	2643	100	100	230277	232919	NP_RS01170
CHR	1	232974	233432	NP_0454A	459	100	100	232974	233432	NP_RS01175
CHR	1	233439	233603	NP_0456A	165	100	74	233439	233660	NP_RS01180
CHR	1	233697	234461	NP_0458A	765	100	100	233697	234461	NP_RS01185
CHR	1	234463	234963	NP_0460A	501	100	100	234463	234963	NP_RS01190
CHR	1	235136	235654	NP_0462A	519	100	100	235136	235654	NP_RS01195
CHR	1	235788	236366	NP_0464A	579	100	100	235788	236366	NP_RS01200
CHR	1	236359	236817	NP_0466A	459	100	100	236359	236817	NP_RS01205
CHR	1	236900	237346	NP_0468A	447	100	100	236900	237346	NP_RS01210
CHR	1	237343	237648	NP_0470A	306	100	100	237343	237648	NP_RS01215
CHR	1	237702	238022	NP_0472A	321	100	100	237702	238022	NP_RS01220
CHR	1	238128	238649	NP_0474A	396	76	100	238254	238649	NP_RS01225
CHR	1	238701	242297	NP_0476A	3597	100	100	238701	242297	NP_RS01230
CHR	1	242313	242735	NP_0478A	423	100	100	242313	242735	NP_RS01235
CHR	1	242814	242981	NP_0480A	0	0	0	-	-	
CHR	1	243124	244875	NP_0482A	1752	100	100	243124	244875	NP_RS01240
CHR	1	244987	245817	NP_0484A	831	100	100	244987	245817	NP_RS01245
CHR	1	245846	246172	NP_0486A	327	100	100	245846	246172	NP_RS01250
CHR	1	246267	246740	NP_0488A	474	100	100	246267	246740	NP_RS01255
CHR	1	246779	247285	NP_0490A	507	100	100	246779	247285	NP_RS01260
CHR	1	247302	249545	NP_0492A	2244	100	100	247302	249545	NP_RS01265
CHR	1	249667	249909	NP_0494A	243	100	100	249667	249909	NP_RS01270
CHR	1	249976	250083	NP_0496A	0	0	0	-	-	
CHR	1	250093	251007	NP_0498A	915	100	100	250093	251007	NP_RS01275
CHR	1	251247	252539	NP_0500A	1293	100	100	251247	252539	NP_RS01280
CHR	1	252589	253326	NP_0502A	738	100	100	252589	253326	NP_RS01285
CHR	1	253407	256340	NP_0504A	2934	100	100	253407	256340	NP_RS01290
CHR	1	256439	256849	NP_0506A	411	100	100	256439	256849	NP_RS01295
CHR	1	256904	257440	NP_0508A	537	100	100	256904	257440	NP_RS01300
CHR	1	257510	258169	NP_0510A	660	100	100	257510	258169	NP_RS01305
CHR	1	258207	259292	NP_0512A	1086	100	100	258207	259292	NP_RS01310
CHR	1	259309	259929	NP_0514A	621	100	100	259309	259929	NP_RS01315
CHR	1	259949	260311	NP_0516A	363	100	100	259949	260311	NP_RS01320
CHR	1	260436	260882	NP_0518A	447	100	100	260436	260882	NP_RS01325
CHR	1	261067	261459	NP_0520A	393	100	100	261067	261459	NP_RS01330
CHR	1	261541	262302	NP_0522A	762	100	100	261541	262302	NP_RS01335
CHR	1	262295	262627	NP_0524A	333	100	100	262295	262627	NP_RS01340
CHR	1	262693	262881	NP_0526A	189	100	100	262693	262881	NP_RS01345
CHR	1	262967	263908	NP_0528A	942	100	100	262967	263908	NP_RS01350
CHR	1	263921	265273	NP_0530A	1353	100	100	263921	265273	NP_RS01355
CHR	1	265392	266468	NP_0532A	1077	100	100	265392	266468	NP_RS01360
CHR	1	266536	267126	NP_0534A	591	100	100	266536	267126	NP_RS01365
CHR	1	267133	269271	NP_0536A	2139	100	100	267133	269271	NP_RS01370
CHR	1	269331	271964	NP_0538A	2634	100	100	269331	271964	NP_RS01375
CHR	1	272018	274753	NP_0540A	2736	100	100	272018	274753	NP_RS01380
CHR	1	274750	275238	NP_0542A	489	100	100	274750	275238	NP_RS01385
CHR	1	275242	276276	NP_0544A	1035	100	100	275242	276276	NP_RS01390
CHR	1	276427	277785	NP_0546A	1359	100	100	276427	277785	NP_RS01395
CHR	1	277849	278238	NP_0548A	390	100	100	277849	278238	NP_RS01400
CHR	1	278394	279578	NP_0550A	1185	100	100	278394	279578	NP_RS01405
CHR	1	279582	280043	NP_0552A	462	100	100	279582	280043	NP_RS01410
CHR	1	280185	280928	NP_0554A	744	100	100	280185	280928	NP_RS01415
CHR	1	281019	282569	NP_0556A	1551	100	100	281019	282569	NP_RS01420
CHR	1	282571	283560	NP_0558A	990	100	100	282571	283560	NP_RS01425
CHR	1	283557	284681	NP_0560A	1125	100	100	283557	284681	NP_RS01430
CHR	1	284828	285757	NP_0562A	930	100	100	284828	285757	NP_RS01435
CHR	1	285847	288231	NP_0564A	2385	100	99	285820	288231	NP_RS01440
CHR	1	288542	288925	NP_0566A	384	100	100	288542	288925	NP_RS01445
CHR	1	288922	289128	NP_0568A	207	100	100	288922	289128	NP_RS01450
CHR	1	289534	291219	NP_0570A	1653	98	100	289567	291219	NP_RS01460
CHR	1	291334	291801	NP_0572A	468	100	100	291334	291801	NP_RS01465
CHR	1	291851	292219	NP_0574A	369	100	100	291851	292219	NP_RS01470
CHR	1	292216	292836	NP_0576A	621	100	100	292216	292836	NP_RS01475
CHR	1	292927	294228	NP_0578A	1302	100	100	292927	294228	NP_RS01480
CHR	1	294289	295035	NP_0580A	747	100	100	294289	295035	NP_RS01485
CHR	1	295092	295547	NP_0582A	456	100	100	295092	295547	NP_RS01490
CHR	1	295590	296573	NP_0584A	984	100	100	295590	296573	NP_RS01495
CHR	1	296715	298718	NP_0586A	2004	100	100	296715	298718	NP_RS01500
CHR	1	298796	299920	NP_0588A	1125	100	100	298796	299920	NP_RS01505
CHR	1	299964	300944	NP_0590A	981	100	100	299964	300944	NP_RS01510
CHR	1	300964	301365	NP_0592A	402	100	100	300964	301365	NP_RS01515
CHR	1	301370	302011	NP_0594A	642	100	100	301370	302011	NP_RS01520
CHR	1	303234	304949	NP_0596A	1503	88	100	303447	304949	NP_RS01525
CHR	1	305138	305923	NP_0598A	786	100	100	305138	305923	NP_RS01530
CHR	1	306004	306417	NP_0600A	414	100	100	306004	306417	NP_RS01535
CHR	1	306547	307242	NP_0602A	696	100	100	306547	307242	NP_RS01540
CHR	1	307344	308219	NP_0604A	876	100	100	307344	308219	NP_RS01545
CHR	1	308274	309107	NP_0606A	834	100	100	308274	309107	NP_RS01550
CHR	1	309117	310814	NP_0608A	1698	100	100	309117	310814	NP_RS01555
CHR	1	310814	313999	NP_0610A	3186	100	100	310814	313999	NP_RS01560
CHR	1	314206	314601	NP_0612A	396	100	100	314206	314601	NP_RS01565
CHR	1	314608	314859	NP_0614A	252	100	100	314608	314859	NP_RS01570
CHR	1	314978	315247	NP_0616A	270	100	100	314978	315247	NP_RS01575
CHR	1	315280	317127	NP_0618A	1848	100	100	315280	317127	NP_RS01580
CHR	1	317158	317712	NP_0620A	555	100	100	317158	317712	NP_RS01585
CHR	1	317801	319597	NP_0622A	1797	100	100	317801	319597	NP_RS01590
CHR	1	319698	321233	NP_0624A	1536	100	100	319698	321233	NP_RS01595
CHR	1	321488	324631	NP_0626A	3144	100	99	321461	324631	NP_RS01600
CHR	1	324621	324977	NP_0628A	357	100	100	324621	324977	NP_RS01605
CHR	1	325084	325608	NP_0630A	525	100	100	325084	325608	NP_RS01610
CHR	1	325708	325941	NP_0632A	0	0	0	-	-	
CHR	1	325942	326385	NP_0634A	444	100	100	325942	326385	NP_RS01615
CHR	1	326446	326742	NP_0636A	297	100	100	326446	326742	NP_RS01620
CHR	1	326788	327006	NP_0638A	219	100	100	326788	327006	NP_RS01625
CHR	1	327003	327464	NP_0640A	462	100	100	327003	327464	NP_RS01630
CHR	1	327687	328562	NP_0642A	822	94	100	327687	328508	NP_RS01640
CHR	1	328741	328971	NP_0644A	0	0	0	-	-	
CHR	1	328956	331331	NP_0646A	2376	100	100	328956	331331	NP_RS01645
CHR	1	331328	331753	NP_0648A	426	100	100	331328	331753	NP_RS01650
CHR	1	331783	332835	NP_0650A	1053	100	100	331783	332835	NP_RS01655
CHR	1	332828	333667	NP_0652A	840	100	100	332828	333667	NP_RS01660
CHR	1	333784	335829	NP_0654A	2046	100	100	333784	335829	NP_RS01665
CHR	1	335826	336257	NP_0656A	432	100	100	335826	336257	NP_RS01670
CHR	1	336329	336748	NP_0658A	420	100	100	336329	336748	NP_RS01675
CHR	1	336945	337997	NP_0660A	1053	100	100	336945	337997	NP_RS01680
CHR	1	338049	338816	NP_0662A	768	100	100	338049	338816	NP_RS01685
CHR	1	338904	339362	NP_0664A	459	100	100	338904	339362	NP_RS01690
CHR	1	339472	339765	NP_0666A	294	100	100	339472	339765	NP_RS01695
CHR	1	339935	340120	NP_0668A	186	100	100	339935	340120	NP_RS01700
CHR	1	340204	341442	NP_0670A	1239	100	100	340204	341442	NP_RS01705
CHR	1	341616	342251	NP_0672A	636	100	100	341616	342251	NP_RS01710
CHR	1	342248	342529	NP_0674A	282	100	100	342248	342529	NP_RS01715
CHR	1	342672	342989	NP_0676A	318	100	100	342672	342989	NP_RS01720
CHR	1	342989	344827	NP_0678A	1839	100	100	342989	344827	NP_RS01725
CHR	1	344888	345406	NP_0680A	519	100	100	344888	345406	NP_RS01730
CHR	1	345493	345897	NP_0682A	405	100	87	345430	345897	NP_RS01735
CHR	1	345954	346151	NP_0684A	198	100	100	345954	346151	NP_RS01740
CHR	1	346145	347203	NP_0686A	1059	100	100	346145	347203	NP_RS01745
CHR	1	347321	347917	NP_0688A	597	100	100	347321	347917	NP_RS01750
CHR	1	347982	348437	NP_0690A	456	100	100	347982	348437	NP_RS01755
CHR	1	348507	348842	NP_0692A	336	100	100	348507	348842	NP_RS01760
CHR	1	348946	350664	NP_0694A	1719	100	100	348946	350664	NP_RS01765
CHR	1	350664	352178	NP_0696A	1515	100	100	350664	352178	NP_RS01770
CHR	1	352252	353247	NP_0698A	996	100	100	352252	353247	NP_RS01775
CHR	1	353419	353586	NP_0700A	0	0	0	-	-	
CHR	1	353570	354268	NP_0702A	699	100	100	353570	354268	NP_RS01780
CHR	1	354268	355158	NP_0704A	891	100	100	354268	355158	NP_RS01785
CHR	1	355488	356696	NP_0706A	1209	100	100	355488	356696	NP_RS01790
CHR	1	356899	357153	NP_0707H	0	0	0	-	-	
